SMILES,Name
NC1=NC(N(C=C1)[C@@H](C(F)([C@@H]2O)F)O[C@@H]2COC([C@H](C(C)C)N)=O)=O,1_5'-L-valyl-gemcitabine
O[C@H]1C[C@@H](O[C@@H]1COC([C@H](C(C)C)N)=O)N2C(N=C(N=C2)N)=O,2_5'-L-valyl-decitabine
N[C@@H](CC1=CC=CC=C1)C(OC[C@H]2O[C@@H](N3C(N=C(N=C3)N)=O)C[C@@H]2O)=O,3_5'-L-phenylanlany-decitabine
C[C@@H](C(N[C@@H](CC(N)=O)C(NCOC[C@H]1O[C@@H](N2C(N=C(N=C2)N)=O)C[C@@H]1O)=O)=O)NC([C@H](C(C)C)N)=O,4_Val-Ala-Asn-decitabine
NC1=NC(N([C@H](O[C@@H]2COCNC([C@@H](NC(CCCCCN3C(C=CC3=O)=O)=O)CC(N)=O)=O)C([C@@H]2O)(F)F)C=C1)=O,5_EMC-Ala-gemcitabine
NC1=NC(N([C@H](O[C@@H]2COCNC([C@@H](NC([C@@H](NC(CCCCCN3C(C=CC3=O)=O)=O)C)=O)CC(N)=O)=O)C([C@@H]2O)(F)F)C=C1)=O,6_EMC-Ala-Asn-gemcitabine
C[C@@H](C(N[C@@H](CC(N)=O)C(NCOC[C@H]1O[C@@H](N2C(N=C(N=C2)N)=O)C[C@@H]1O)=O)=O)NC([C@H](C(C)C)NC(CCCCCN3C(C=CC3=O)=O)=O)=O,7_EMC-Val-Ala-Asn-decitabine
NC1=NC(N(C=C1)[C@@H](C(F)([C@@H]2O)F)O[C@@H]2COCNC([C@H](CC(N)=O)NC([C@H](C)NC([C@H](C)NC(CCCCCN3C(C=CC3=O)=O)=O)=O)=O)=O)=O,8_EMC-Ala-Ala-Asn-gemcitabine
O=C(C=C1)N(CCCCCC(N[C@@H](C)C(N[C@@H](C)C(N[C@@H](C)C(N[C@@H](CC(N)=O)C(NCOC[C@H]2O[C@H](C(F)([C@@H]2O)F)N3C=CC(N)=NC3=O)=O)=O)=O)=O)=O)C1=O,9_EMC-Ala-Ala-Ala-Asn-gemcitabine
O=C1C2=C(C(O)=C([C@@H](O[C@H]3C[C@H](NC([C@H](CC(C)C)NC([C@H](CC(N)=O)NC([C@H](C)NC([C@H](C)NC(CCCCCN4C(C=CC4=O)=O)=O)=O)=O)=O)=O)[C@H](O)[C@H](C)O3)C[C@](O)(C(CO)=O)C5)C5=C2O)C(C6=C(OC)C=CC=C61)=O,10_Legubicin
O=C(C=C1)N(CCC(NCCOCCOCCOCCOCCOCCOCCC(N[C@@H](C)C(N[C@@H](C)C(N[C@H](C(N[C@H](C(N[C@H]([C@H](O)[C@H](C)O2)C[C@@H]2O[C@@H](C[C@@](C(CO)=O)(O)C3)C(C3=C4O)=C(O)C5=C4C(C6=CC=CC(OC)=C6C5=O)=O)=O)CC(C)C)=O)CC(N)=O)=O)=O)=O)=O)C1=O,11_2nd Legubicin
O=C(N[C@H]([C@H](C(O[C@H]1C[C@]([C@H]2OC(C3=CC=CC=C3)=O)(O)C(C)(C)C([C@@H](OC(C)=O)C([C@@]4(C)[C@@]2([H])[C@@](CO5)(OC(C)=O)[C@H]5C[C@@H]4O)=O)=C1C)=O)OC(OCC(C=C6)=CC=C6NC([C@H](CC(N)=O)NC([C@H](C)NC([C@H](C)NC([C@@H](NC(COCCOCCOCCOCCOCCOC)=O)CCCCNC(COCCOCCOCCOCCOCCOC)=O)=O)=O)=O)=O)=O)C7=CC=CC=C7)C8=CC=CC=C8,12_Legutaxel
O=C(N[C@@H](C)C(N[C@@H](C)C(N[C@H](C(NCOCC(N[C@@H](CC1)C2=C3C(C(N4C3)=CC([C@@](O)(CC)C(OC5)=O)=C5C4=O)=NC6=CC(F)=C(C)C1=C62)=O)=O)CC(N)=O)=O)=O)[C@H](CCC(NCCOCCOCCOCCOCCOCCOCCOCCOC)=O)NC(CCN7C(C=CC7=O)=O)=O,13_QHL-1618
NC1=NC2=C(C3=C1N=C(CCCC)N3CCCCNC([C@H](CC(N)=O)NC([C@H](C)NC([C@H](C)NC(CCCCCN4C(C=CC4=O)=O)=O)=O)=O)=O)C=CC=C2,14_TMEA-T785
C[C@@H](C(N[C@@H](C)C(N[C@H](C(NC1=CC=C(COC(N(CC2)CCN2CCCOC3=CC4=NC=CC(OC5=CC=C(NC(C6(CC6)C(NC7=CC=C(F)C=C7)=O)=O)C=C5F)=C4C=C3OC)=O)C=C1)=O)CC(N)=O)=O)=O)NC([C@@H](NC(COCCOCCOCCOCCOCCOC)=O)CCCCNC(CCOCCOCCOCCOCCOCCOCCNC(CCN8C(C=CC8=O)=O)=O)=O)=O,15_Megaxitinib
